ae
28, 620.8, 248.1, 594.6, 250.6, 246.2, 245.6, 245.6, 245.6, 245.0, 245.0, 245.9, 245.9, 245.9, 245.0, 245.0, 245.0, 245.0, 245.0, 245.0, 245.0, 245.0, 245.0, 245.0, 0.000699, 0.001637, 0.024662, 0.008695, 0.005127, 0.009060, 0.014117, 0.016484, 0.026798, 0.045246, 0.063227, 0.092025, 0.145946, 0.203640, 0.347275, 0.522104, 0.722180, 1.071483, 1.419620, 2.089633, 4.385530, 7.532137, 15.620877, 27.070747, 0.000009
29, 678.4, 270.5, 633.4, 274.9, 270.5, 269.9, 269.9, 269.3, 270.2, 270.2, 269.3, 269.3, 270.2, 270.2, 269.3, 269.3, 269.3, 269.3, 269.3, 269.3, 269.3, 269.3, 269.3, 0.000483, 0.003453, 0.042463, 0.011158, 0.004603, 0.007039, 0.010052, 0.012146, 0.018432, 0.030852, 0.043083, 0.069185, 0.110059, 0.157073, 0.246357, 0.364461, 0.499508, 0.798622, 1.113932, 1.657223, 3.472011, 6.037957, 11.668079, 20.565788, 1.138357
30, 716.6, 287.8, 671.6, 296.6, 287.8, 287.2, 287.2, 286.6, 287.5, 287.5, 286.6, 286.6, 287.5, 287.5, 286.6, 286.6, 286.6, 286.6, 286.6, 286.6, 286.6, 286.6, 286.6, 0.000502, 0.004656, 0.050255, 0.011659, 0.005041, 0.007612, 0.010411, 0.012327, 0.019960, 0.031716, 0.047007, 0.074670, 0.116888, 0.167385, 0.263766, 0.405003, 0.522893, 0.845952, 1.153547, 1.709106, 3.713688, 6.183043, 12.645162, 21.935625, 0.953723
31, 768.1, 308.8, 728.8, 315.0, 306.5, 305.9, 305.9, 305.3, 306.2, 306.2, 305.3, 305.3, 306.2, 306.2, 305.3, 305.3, 305.3, 305.3, 305.3, 305.3, 305.3, 305.3, 305.3, 0.000547, 0.005820, 0.061840, 0.012792, 0.005122, 0.008512, 0.011286, 0.014642, 0.023410, 0.046558, 0.062611, 0.099711, 0.128604, 0.180287, 0.281863, 0.416978, 0.577302, 0.905859, 1.261221, 1.892664, 4.022395, 6.832384, 14.205881, 23.322535, 1.311096
32, 800.0, 319.0, 748.6, 322.8, 315.5, 314.9, 314.9, 314.3, 315.2, 315.2, 314.3, 314.3, 315.2, 315.2, 314.3, 314.3, 314.3, 314.3, 314.3, 314.3, 314.3, 314.3, 314.3, 0.000589, 0.007557, 0.073574, 0.012341, 0.006115, 0.009182, 0.011977, 0.015399, 0.028481, 0.039383, 0.056571, 0.085872, 0.135594, 0.190386, 0.301061, 0.457443, 0.641051, 0.988259, 1.379633, 2.106317, 4.250876, 6.964099, 14.148250, 24.208702, 1.000964
33, 844.9, 340.5, 799.7, 345.7, 341.1, 338.6, 338.6, 338.0, 338.9, 338.9, 338.0, 338.0, 338.9, 338.9, 338.0, 338.0, 338.0, 338.0, 338.0, 338.0, 338.0, 338.0, 338.0, 0.000629, 0.009805, 0.093561, 0.013398, 0.006431, 0.009900, 0.013174, 0.015307, 0.025064, 0.039646, 0.058324, 0.090641, 0.144061, 0.202303, 0.327604, 0.486238, 0.748599, 1.061193, 1.482373, 2.131476, 4.498624, 7.386395, 14.592505, 25.303334, 1.010700
34, 883.2, 357.0, 831.9, 366.1, 355.7, 355.1, 355.1, 354.5, 355.4, 355.4, 354.5, 354.5, 355.4, 355.4, 354.5, 354.5, 354.5, 354.5, 354.5, 354.5, 354.5, 354.5, 354.5, 0.000714, 0.012084, 0.112048, 0.015457, 0.007521, 0.010368, 0.014299, 0.017075, 0.026763, 0.043887, 0.062636, 0.095665, 0.150367, 0.219669, 0.344299, 0.528136, 0.725056, 1.163205, 1.594483, 2.316553, 4.934981, 8.032225, 15.413421, 26.884073, 0.911601
dj
28, 44.8, 44.8, 44.8, 44.8, 44.8, 44.8, 44.8, 44.8, 44.8, 44.8, 44.8, 44.8, 44.8, 44.8, 44.8, 44.8, 44.8, 44.8, 44.8, 44.8, 44.8, 44.8, 44.8, 0.000072, 0.000608, 0.004449, 0.000482, 0.000536, 0.000836, 0.001115, 0.001536, 0.002234, 0.003751, 0.005394, 0.007714, 0.012109, 0.018485, 0.030973, 0.047253, 0.072121, 0.107507, 0.152230, 0.233586, 0.592206, 0.988248, 2.191619, 4.071555, 0.000000
29, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0, 0.000076, 0.000816, 0.004615, 0.000580, 0.000696, 0.000918, 0.001325, 0.001605, 0.002350, 0.003826, 0.005461, 0.007796, 0.012384, 0.019040, 0.031145, 0.047319, 0.074883, 0.111553, 0.156855, 0.238353, 0.591270, 1.008985, 2.225253, 4.081093, 0.076838
30, 51.3, 51.3, 51.3, 51.3, 51.3, 51.3, 51.3, 51.3, 51.3, 51.3, 51.3, 51.3, 51.3, 51.3, 51.3, 51.3, 51.3, 51.3, 51.3, 51.3, 51.3, 51.3, 51.3, 0.000091, 0.000757, 0.004856, 0.000663, 0.000584, 0.000939, 0.001303, 0.001588, 0.002296, 0.003788, 0.005519, 0.008124, 0.012786, 0.019367, 0.031078, 0.048569, 0.074002, 0.111971, 0.166513, 0.237830, 0.579202, 0.965688, 2.115696, 3.952774, 0.084627
31, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 0.000086, 0.000749, 0.005074, 0.000575, 0.000626, 0.000972, 0.001295, 0.001592, 0.002293, 0.003754, 0.005339, 0.008159, 0.012778, 0.018756, 0.031607, 0.047918, 0.074885, 0.110628, 0.157192, 0.237504, 0.593189, 0.996724, 2.196680, 4.118099, 0.133793
32, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 0.000097, 0.000738, 0.004860, 0.000583, 0.000609, 0.000965, 0.001214, 0.001705, 0.002236, 0.003662, 0.005328, 0.007795, 0.012776, 0.019103, 0.031557, 0.047666, 0.075186, 0.110043, 0.157207, 0.233141, 0.587957, 0.982651, 2.122191, 3.963670, 0.117529
33, 57.8, 57.6, 57.8, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 0.000089, 0.000889, 0.005194, 0.000577, 0.000718, 0.001011, 0.001187, 0.001590, 0.002299, 0.003674, 0.005063, 0.007606, 0.011457, 0.018463, 0.028558, 0.043845, 0.097820, 0.107017, 0.148145, 0.212173, 0.603684, 0.942284, 1.964701, 3.544361, 0.178769
